subtype,item_name,item_description,SD_prompt
Brunch,Bagel with Cream Cheese," A round, doughy bagel sliced in half and spread with cream cheese.","A photograph of Bagel with Cream Cheese:  A round, doughy bagel sliced in half and spread with cream cheese."
Brunch,Belgian Waffles," Large, square waffles with deep grids, often topped with powdered sugar, syrup, or fruit.","A photograph of Belgian Waffles:  Large, square waffles with deep grids, often topped with powdered sugar, syrup, or fruit."
Brunch,Huevos Rancheros," A plate of fried eggs served on tortillas, covered in salsa.","A photograph of Huevos Rancheros:  A plate of fried eggs served on tortillas, covered in salsa."
Brunch,Smoked Salmon Bagel," A bagel topped with cream cheese, thin slices of smoked salmon, and often capers or onions.","A photograph of Smoked Salmon Bagel:  A bagel topped with cream cheese, thin slices of smoked salmon, and often capers or onions."
Brunch,Acai Bowl," A bowl filled with acai smoothie, topped with granola, and a variety of fresh fruit.","A photograph of Acai Bowl:  A bowl filled with acai smoothie, topped with granola, and a variety of fresh fruit."
Brunch,Shakshuka," A dish of eggs poached in a sauce of tomatoes, chili peppers, and onions.","A photograph of Shakshuka:  A dish of eggs poached in a sauce of tomatoes, chili peppers, and onions."
Brunch,Breakfast Sandwich," A sandwich made from bread, eggs, cheese, and often bacon or sausage.","A photograph of Breakfast Sandwich:  A sandwich made from bread, eggs, cheese, and often bacon or sausage."
Brunch,Corned Beef Hash," A mixture of chopped corned beef, potatoes, and onions, often served with eggs.","A photograph of Corned Beef Hash:  A mixture of chopped corned beef, potatoes, and onions, often served with eggs."
Brunch,Biscuits and Gravy," Soft, flaky biscuits covered in a thick, creamy, white gravy.","A photograph of Biscuits and Gravy:  Soft, flaky biscuits covered in a thick, creamy, white gravy."
Brunch,Crepes," Thin, golden pancakes rolled up and often filled with sweet or savory fillings.","A photograph of Crepes:  Thin, golden pancakes rolled up and often filled with sweet or savory fillings."
Lunch,Club Sandwich," Triple-decker sandwich with turkey, bacon, lettuce, tomato, and mayo.","A photograph of Club Sandwich:  Triple-decker sandwich with turkey, bacon, lettuce, tomato, and mayo."
Lunch,Vegetable Stir Fry," Colorful mix of sautéed vegetables like bell peppers, broccoli, and carrots in a light sauce.","A photograph of Vegetable Stir Fry:  Colorful mix of sautéed vegetables like bell peppers, broccoli, and carrots in a light sauce."
Lunch,Margherita Pizza," Thin crust pizza topped with fresh mozzarella, basil leaves, and tomato sauce.","A photograph of Margherita Pizza:  Thin crust pizza topped with fresh mozzarella, basil leaves, and tomato sauce."
Lunch,Chicken Caesar Wrap," Grilled chicken, romaine lettuce, parmesan, and Caesar dressing wrapped in a tortilla.","A photograph of Chicken Caesar Wrap:  Grilled chicken, romaine lettuce, parmesan, and Caesar dressing wrapped in a tortilla."
Lunch,Quiche Lorraine," Golden-brown flaky crust filled with a creamy egg mixture, bacon, and cheese.","A photograph of Quiche Lorraine:  Golden-brown flaky crust filled with a creamy egg mixture, bacon, and cheese."
Lunch,Spaghetti Bolognese," Long, thin noodles topped with a hearty meat and tomato sauce.","A photograph of Spaghetti Bolognese:  Long, thin noodles topped with a hearty meat and tomato sauce."
Lunch,BBQ Ribs," Rack of ribs slathered in a glossy, dark barbecue sauce, often served with fries.","A photograph of BBQ Ribs:  Rack of ribs slathered in a glossy, dark barbecue sauce, often served with fries."
Lunch,Beef Burrito," Large tortilla filled with seasoned beef, rice, beans, cheese, and salsa.","A photograph of Beef Burrito:  Large tortilla filled with seasoned beef, rice, beans, cheese, and salsa."
Lunch,Egg Salad Sandwich, Chopped hard-boiled eggs mixed with mayo and served on white bread.,A photograph of Egg Salad Sandwich:  Chopped hard-boiled eggs mixed with mayo and served on white bread.
Lunch,Tuna Niçoise Salad," Mixed greens topped with seared tuna, hard-boiled eggs, olives, and tomatoes.","A photograph of Tuna Niçoise Salad:  Mixed greens topped with seared tuna, hard-boiled eggs, olives, and tomatoes."
Dinner,Roast Chicken," A whole chicken with golden-brown skin, often garnished with herbs and lemon slices.","A photograph of Roast Chicken:  A whole chicken with golden-brown skin, often garnished with herbs and lemon slices."
Dinner,Beef Steak," A thick slice of grilled beef, usually with visible grill marks and often served with a side of vegetables.","A photograph of Beef Steak:  A thick slice of grilled beef, usually with visible grill marks and often served with a side of vegetables."
Dinner,Sushi Platter," An assortment of bite-sized pieces, each with a topping or filling of fish, vegetables, or egg on a bed of vinegared rice.","A photograph of Sushi Platter:  An assortment of bite-sized pieces, each with a topping or filling of fish, vegetables, or egg on a bed of vinegared rice."
Dinner,Seafood Paella," A colorful dish with rice, various seafood like shrimp and mussels, and vegetables, often garnished with lemon wedges.","A photograph of Seafood Paella:  A colorful dish with rice, various seafood like shrimp and mussels, and vegetables, often garnished with lemon wedges."
Dinner,Moussaka," A layered dish with sliced eggplant, minced meat, and a creamy béchamel sauce on top.","A photograph of Moussaka:  A layered dish with sliced eggplant, minced meat, and a creamy béchamel sauce on top."
Dinner,Pad Thai," Stir-fried rice noodles with eggs, tofu, and bean sprouts, garnished with crushed peanuts and lime.","A photograph of Pad Thai:  Stir-fried rice noodles with eggs, tofu, and bean sprouts, garnished with crushed peanuts and lime."
Dinner,Shepherd's Pie," A baked dish with a bottom layer of cooked meat and vegetables, topped with a crust of mashed potatoes.","A photograph of Shepherd's Pie:  A baked dish with a bottom layer of cooked meat and vegetables, topped with a crust of mashed potatoes."
Dinner,Ratatouille," A stewed vegetable dish with colorful slices of eggplant, zucchini, and bell peppers in a tomato base.","A photograph of Ratatouille:  A stewed vegetable dish with colorful slices of eggplant, zucchini, and bell peppers in a tomato base."
Dinner,Tacos," Folded tortillas filled with meat, cheese, and fresh vegetables, often garnished with salsa or guacamole.","A photograph of Tacos:  Folded tortillas filled with meat, cheese, and fresh vegetables, often garnished with salsa or guacamole."
Dinner,Lasagna," A layered pasta dish with alternating layers of pasta, cheese, and meat or vegetable sauce.","A photograph of Lasagna:  A layered pasta dish with alternating layers of pasta, cheese, and meat or vegetable sauce."
Supper,Vegetable Stir-fry," Colorful mix of sautéed vegetables, often served over rice.","A photograph of Vegetable Stir-fry:  Colorful mix of sautéed vegetables, often served over rice."
Supper,Chicken and Dumplings, Creamy soup with chunks of chicken and fluffy dumplings.,A photograph of Chicken and Dumplings:  Creamy soup with chunks of chicken and fluffy dumplings.
Supper,Beef and Broccoli, Stir-fried dish with strips of beef and bright green broccoli florets.,A photograph of Beef and Broccoli:  Stir-fried dish with strips of beef and bright green broccoli florets.
Hors d'oeuvres,Bacon-Wrapped Dates, Dates wrapped in bacon and baked until crispy. Sometimes stuffed with cheese.,A photograph of Bacon-Wrapped Dates:  Dates wrapped in bacon and baked until crispy. Sometimes stuffed with cheese.
Hors d'oeuvres,Spanakopita," Triangular, flaky pastries filled with spinach and feta cheese.","A photograph of Spanakopita:  Triangular, flaky pastries filled with spinach and feta cheese."
Hors d'oeuvres,Mini Beef Wellingtons, Small pastries filled with beef and mushroom mixture. Golden and flaky.,A photograph of Mini Beef Wellingtons:  Small pastries filled with beef and mushroom mixture. Golden and flaky.
Hors d'oeuvres,Cocktail Meatballs," Small, round meatballs often served in a tangy or sweet sauce.","A photograph of Cocktail Meatballs:  Small, round meatballs often served in a tangy or sweet sauce."
Hors d'oeuvres,Cheese and Fruit Skewers, Skewers with a variety of cheese cubes and fresh fruit pieces.,A photograph of Cheese and Fruit Skewers:  Skewers with a variety of cheese cubes and fresh fruit pieces.
Hors d'oeuvres,Smoked Salmon Canapés," Small, round bread slices topped with cream cheese and smoked salmon.","A photograph of Smoked Salmon Canapés:  Small, round bread slices topped with cream cheese and smoked salmon."
Hors d'oeuvres,Mini Tacos," Small, soft or hard shell tacos filled with meat, cheese, and salsa.","A photograph of Mini Tacos:  Small, soft or hard shell tacos filled with meat, cheese, and salsa."
Hors d'oeuvres,Prosciutto-Wrapped Melon," Slices of melon wrapped in thin, cured prosciutto.","A photograph of Prosciutto-Wrapped Melon:  Slices of melon wrapped in thin, cured prosciutto."
Hors d'oeuvres,Vegetable Spring Rolls," Thin, crispy rolls filled with a variety of shredded vegetables.","A photograph of Vegetable Spring Rolls:  Thin, crispy rolls filled with a variety of shredded vegetables."
Hors d'oeuvres,Mini Lobster Rolls," Small, soft buns filled with a creamy lobster mixture.","A photograph of Mini Lobster Rolls:  Small, soft buns filled with a creamy lobster mixture."
Hors d'oeuvres,Oysters Rockefeller," Oysters on the half shell, topped with a rich sauce and breadcrumbs, then baked.","A photograph of Oysters Rockefeller:  Oysters on the half shell, topped with a rich sauce and breadcrumbs, then baked."
Amuse-bouche,Mini Beef Wellington, A small puff pastry filled with a tiny piece of beef and mushroom duxelles.,A photograph of Mini Beef Wellington:  A small puff pastry filled with a tiny piece of beef and mushroom duxelles.
Amuse-bouche,Smoked Salmon Blini, A small pancake topped with a slice of smoked salmon and a dollop of cream.,A photograph of Smoked Salmon Blini:  A small pancake topped with a slice of smoked salmon and a dollop of cream.
Amuse-bouche,Tomato Soup Shooter," A small glass filled with rich, red tomato soup, often garnished with a basil leaf.","A photograph of Tomato Soup Shooter:  A small glass filled with rich, red tomato soup, often garnished with a basil leaf."
Amuse-bouche,Goat Cheese Crostini, A small piece of toasted bread topped with creamy goat cheese and a drizzle of honey.,A photograph of Goat Cheese Crostini:  A small piece of toasted bread topped with creamy goat cheese and a drizzle of honey.
Amuse-bouche,Seared Scallop," A single, perfectly seared scallop, often served on a small spoon or in a shell.","A photograph of Seared Scallop:  A single, perfectly seared scallop, often served on a small spoon or in a shell."
Amuse-bouche,Mini Quiche Lorraine," A tiny version of the classic quiche, filled with cheese, bacon, and egg.","A photograph of Mini Quiche Lorraine:  A tiny version of the classic quiche, filled with cheese, bacon, and egg."
Amuse-bouche,Gazpacho Shooter," A small glass filled with chilled, vibrant gazpacho soup.","A photograph of Gazpacho Shooter:  A small glass filled with chilled, vibrant gazpacho soup."
Amuse-bouche,Mini Lobster Roll," A tiny version of the classic lobster roll, served in a small, soft bun.","A photograph of Mini Lobster Roll:  A tiny version of the classic lobster roll, served in a small, soft bun."
Amuse-bouche,Foie Gras Mousse," A small dollop of rich, creamy foie gras mousse, often served on a cracker.","A photograph of Foie Gras Mousse:  A small dollop of rich, creamy foie gras mousse, often served on a cracker."
Amuse-bouche,Caviar on Blini, A small pancake topped with a dollop of caviar and a bit of sour cream.,A photograph of Caviar on Blini:  A small pancake topped with a dollop of caviar and a bit of sour cream.
Amuse-bouche,Mini Caprese Skewer," A small skewer with a cherry tomato, a piece of mozzarella, and a basil leaf.","A photograph of Mini Caprese Skewer:  A small skewer with a cherry tomato, a piece of mozzarella, and a basil leaf."
Amuse-bouche,Truffle Arancini," A small, deep-fried rice ball filled with cheese and truffle.","A photograph of Truffle Arancini:  A small, deep-fried rice ball filled with cheese and truffle."
Amuse-bouche,Mini Crab Cake," A tiny version of the classic crab cake, often served with a dollop of aioli.","A photograph of Mini Crab Cake:  A tiny version of the classic crab cake, often served with a dollop of aioli."
Amuse-bouche,Oyster Shooter," A small glass filled with a fresh oyster, cocktail sauce, and a bit of lemon.","A photograph of Oyster Shooter:  A small glass filled with a fresh oyster, cocktail sauce, and a bit of lemon."
Amuse-bouche,Mini Beef Tartare," A tiny portion of beef tartare, often served on a cracker or toast.","A photograph of Mini Beef Tartare:  A tiny portion of beef tartare, often served on a cracker or toast."
Amuse-bouche,Mini Caesar Salad," A small serving of Caesar salad, often served in a Parmesan cheese cup.","A photograph of Mini Caesar Salad:  A small serving of Caesar salad, often served in a Parmesan cheese cup."
Amuse-bouche,Mini Shrimp Cocktail," A tiny version of the classic shrimp cocktail, served in a small glass.","A photograph of Mini Shrimp Cocktail:  A tiny version of the classic shrimp cocktail, served in a small glass."
Amuse-bouche,Mini Duck Confit," A small piece of duck confit, often served on a cracker or toast.","A photograph of Mini Duck Confit:  A small piece of duck confit, often served on a cracker or toast."
Amuse-bouche,Mini Tuna Tartare," A tiny portion of tuna tartare, often served on a cracker or toast.","A photograph of Mini Tuna Tartare:  A tiny portion of tuna tartare, often served on a cracker or toast."
Tapas,Patatas Bravas," Cubed fried potatoes topped with spicy tomato sauce and aioli, often garnished with parsley.","A photograph of Patatas Bravas:  Cubed fried potatoes topped with spicy tomato sauce and aioli, often garnished with parsley."
Tapas,Gambas al Ajillo," Sizzling shrimp in a pool of golden garlic-infused olive oil, sprinkled with red chili flakes.","A photograph of Gambas al Ajillo:  Sizzling shrimp in a pool of golden garlic-infused olive oil, sprinkled with red chili flakes."
Tapas,Tortilla Española," A thick, round omelette filled with thinly sliced potatoes and onions, cut into wedges.","A photograph of Tortilla Española:  A thick, round omelette filled with thinly sliced potatoes and onions, cut into wedges."
Tapas,Albondigas," Small, round meatballs in a rich tomato sauce, often garnished with fresh herbs.","A photograph of Albondigas:  Small, round meatballs in a rich tomato sauce, often garnished with fresh herbs."
Tapas,Pimientos de Padrón," Small, bright green blistered peppers, sprinkled with coarse sea salt.","A photograph of Pimientos de Padrón:  Small, bright green blistered peppers, sprinkled with coarse sea salt."
Tapas,Chorizo al Vino," Sliced chorizo sausage simmered in red wine, served in a small clay dish.","A photograph of Chorizo al Vino:  Sliced chorizo sausage simmered in red wine, served in a small clay dish."
Tapas,Pulpo a la Gallega," Thinly sliced octopus arranged in a circular pattern, dusted with paprika and coarse salt.","A photograph of Pulpo a la Gallega:  Thinly sliced octopus arranged in a circular pattern, dusted with paprika and coarse salt."
Tapas,Croquetas de Jamón," Small, golden-brown croquettes filled with creamy béchamel and diced ham.","A photograph of Croquetas de Jamón:  Small, golden-brown croquettes filled with creamy béchamel and diced ham."
Tapas,Calamares a la Romana," Rings of squid coated in a light batter and deep-fried, served with lemon wedges.","A photograph of Calamares a la Romana:  Rings of squid coated in a light batter and deep-fried, served with lemon wedges."
Tapas,Pan con Tomate, Slices of crusty bread rubbed with ripe tomatoes and drizzled with olive oil.,A photograph of Pan con Tomate:  Slices of crusty bread rubbed with ripe tomatoes and drizzled with olive oil.
Tapas,Boquerones en Vinagre," Small, silvery anchovies marinated in vinegar, garnished with chopped parsley.","A photograph of Boquerones en Vinagre:  Small, silvery anchovies marinated in vinegar, garnished with chopped parsley."
Tapas,Queso Manchego," Wedges of firm, golden Manchego cheese, often served with quince paste.","A photograph of Queso Manchego:  Wedges of firm, golden Manchego cheese, often served with quince paste."
Tapas,Aceitunas," A variety of olives, often marinated with herbs and citrus zest.","A photograph of Aceitunas:  A variety of olives, often marinated with herbs and citrus zest."
Tapas,Pisto," A chunky vegetable stew similar to ratatouille, often topped with a fried egg.","A photograph of Pisto:  A chunky vegetable stew similar to ratatouille, often topped with a fried egg."
Tapas,Carrillada," Slow-cooked pork cheeks in a rich, dark sauce, often garnished with fresh herbs.","A photograph of Carrillada:  Slow-cooked pork cheeks in a rich, dark sauce, often garnished with fresh herbs."
Tapas,Espinacas con Garbanzos," A hearty dish of spinach and chickpeas, often spiced with cumin and paprika.","A photograph of Espinacas con Garbanzos:  A hearty dish of spinach and chickpeas, often spiced with cumin and paprika."
Tapas,Salmorejo," A thick, creamy tomato soup topped with diced ham and hard-boiled egg.","A photograph of Salmorejo:  A thick, creamy tomato soup topped with diced ham and hard-boiled egg."
Tapas,Pinchos Morunos," Skewers of marinated pork or chicken, often served with a spicy dipping sauce.","A photograph of Pinchos Morunos:  Skewers of marinated pork or chicken, often served with a spicy dipping sauce."
Tapas,Ensaladilla Rusa," A creamy potato salad with peas, carrots, and mayonnaise, often garnished with olives.","A photograph of Ensaladilla Rusa:  A creamy potato salad with peas, carrots, and mayonnaise, often garnished with olives."
Tapas,Montaditos," Small sandwiches filled with a variety of ingredients, such as ham, cheese, or tuna.","A photograph of Montaditos:  Small sandwiches filled with a variety of ingredients, such as ham, cheese, or tuna."
Antipasto,Prosciutto Wrapped Melon, Thin slices of prosciutto wrapped around sweet melon balls or wedges.,A photograph of Prosciutto Wrapped Melon:  Thin slices of prosciutto wrapped around sweet melon balls or wedges.
Antipasto,Marinated Olives," A mix of green and black olives in a herby, garlicky marinade.","A photograph of Marinated Olives:  A mix of green and black olives in a herby, garlicky marinade."
Antipasto,Stuffed Peppers, Small peppers filled with a mixture of cream cheese and herbs.,A photograph of Stuffed Peppers:  Small peppers filled with a mixture of cream cheese and herbs.
Antipasto,Italian Cheese Board," A variety of Italian cheeses like mozzarella, gorgonzola, and parmesan, served with grapes and crackers.","A photograph of Italian Cheese Board:  A variety of Italian cheeses like mozzarella, gorgonzola, and parmesan, served with grapes and crackers."
Antipasto,Antipasto Skewers," Skewers with a variety of antipasto ingredients like olives, cheese, salami, and artichoke hearts.","A photograph of Antipasto Skewers:  Skewers with a variety of antipasto ingredients like olives, cheese, salami, and artichoke hearts."
Antipasto,Marinated Artichoke Hearts," Artichoke hearts in a tangy, herby marinade.","A photograph of Marinated Artichoke Hearts:  Artichoke hearts in a tangy, herby marinade."
Antipasto,Italian Cold Cuts," A variety of Italian cold cuts like salami, prosciutto, and mortadella.","A photograph of Italian Cold Cuts:  A variety of Italian cold cuts like salami, prosciutto, and mortadella."
Antipasto,Marinated Mozzarella Balls," Small mozzarella balls in a herby, garlicky marinade.","A photograph of Marinated Mozzarella Balls:  Small mozzarella balls in a herby, garlicky marinade."
Antipasto,Italian Sausage Bites," Bite-sized pieces of Italian sausage, often served with a dipping sauce.","A photograph of Italian Sausage Bites:  Bite-sized pieces of Italian sausage, often served with a dipping sauce."
Antipasto,Sun-Dried Tomatoes," Dried tomatoes that have been rehydrated in oil, often with added herbs.","A photograph of Sun-Dried Tomatoes:  Dried tomatoes that have been rehydrated in oil, often with added herbs."
Antipasto,Italian Pickled Vegetables," A variety of pickled vegetables like cucumbers, carrots, and onions.","A photograph of Italian Pickled Vegetables:  A variety of pickled vegetables like cucumbers, carrots, and onions."
Antipasto,Focaccia Bread," A flat, oven-baked Italian bread, often topped with herbs and olive oil.","A photograph of Focaccia Bread:  A flat, oven-baked Italian bread, often topped with herbs and olive oil."
Antipasto,Bresaola Rolls, Thin slices of bresaola rolled up with arugula and parmesan inside.,A photograph of Bresaola Rolls:  Thin slices of bresaola rolled up with arugula and parmesan inside.
Antipasto,Italian Stuffed Tomatoes," Tomatoes filled with a mixture of rice and herbs, then baked.","A photograph of Italian Stuffed Tomatoes:  Tomatoes filled with a mixture of rice and herbs, then baked."
Antipasto,Italian Deviled Eggs," Hard-boiled eggs filled with a mixture of egg yolk, mayonnaise, and Italian herbs.","A photograph of Italian Deviled Eggs:  Hard-boiled eggs filled with a mixture of egg yolk, mayonnaise, and Italian herbs."
Antipasto,Italian Seafood Salad," A salad made with a variety of seafood like shrimp, calamari, and mussels, often served with lemon and olive oil.","A photograph of Italian Seafood Salad:  A salad made with a variety of seafood like shrimp, calamari, and mussels, often served with lemon and olive oil."
Canapés,Smoked Salmon Canapé," A small round cracker topped with a thin slice of smoked salmon, a dollop of cream cheese, and a sprig of dill.","A photograph of Smoked Salmon Canapé:  A small round cracker topped with a thin slice of smoked salmon, a dollop of cream cheese, and a sprig of dill."
Canapés,Caviar Canapé," A small square toast topped with a layer of butter, a spoonful of black caviar, and a thin slice of lemon.","A photograph of Caviar Canapé:  A small square toast topped with a layer of butter, a spoonful of black caviar, and a thin slice of lemon."
Canapés,Tomato Bruschetta Canapé," A small piece of toasted bread topped with diced tomatoes, basil leaves, and a drizzle of olive oil.","A photograph of Tomato Bruschetta Canapé:  A small piece of toasted bread topped with diced tomatoes, basil leaves, and a drizzle of olive oil."
Canapés,Prosciutto and Melon Canapé, A small skewer with a cube of melon wrapped in a thin slice of prosciutto.,A photograph of Prosciutto and Melon Canapé:  A small skewer with a cube of melon wrapped in a thin slice of prosciutto.
Canapés,Deviled Egg Canapé," A halved hard-boiled egg filled with a mixture of egg yolk, mayonnaise, and mustard, garnished with paprika.","A photograph of Deviled Egg Canapé:  A halved hard-boiled egg filled with a mixture of egg yolk, mayonnaise, and mustard, garnished with paprika."
Canapés,Shrimp Cocktail Canapé, A small glass filled with cocktail sauce and a large shrimp hanging over the rim.,A photograph of Shrimp Cocktail Canapé:  A small glass filled with cocktail sauce and a large shrimp hanging over the rim.
Canapés,Mini Quiche Canapé," A small round pastry shell filled with a mixture of eggs, cream, cheese, and vegetables or meat.","A photograph of Mini Quiche Canapé:  A small round pastry shell filled with a mixture of eggs, cream, cheese, and vegetables or meat."
Canapés,Caprese Skewer Canapé," A small skewer with a cherry tomato, a piece of mozzarella cheese, and a basil leaf.","A photograph of Caprese Skewer Canapé:  A small skewer with a cherry tomato, a piece of mozzarella cheese, and a basil leaf."
Canapés,Beef Tartare Canapé," A small round toast topped with a mixture of finely chopped raw beef, capers, and onions.","A photograph of Beef Tartare Canapé:  A small round toast topped with a mixture of finely chopped raw beef, capers, and onions."
Canapés,Foie Gras Canapé, A small piece of toasted brioche topped with a slice of foie gras and a dollop of fig jam.,A photograph of Foie Gras Canapé:  A small piece of toasted brioche topped with a slice of foie gras and a dollop of fig jam.
Canapés,Lobster Roll Canapé, A mini brioche bun filled with chunks of lobster meat mixed with mayonnaise and celery.,A photograph of Lobster Roll Canapé:  A mini brioche bun filled with chunks of lobster meat mixed with mayonnaise and celery.
Canapés,Mini Slider Canapé," A small burger with a beef patty, cheese, lettuce, and a slice of tomato in a mini bun.","A photograph of Mini Slider Canapé:  A small burger with a beef patty, cheese, lettuce, and a slice of tomato in a mini bun."
Canapés,Crab Cake Canapé, A small round crab cake topped with a dollop of tartar sauce and a sprig of parsley.,A photograph of Crab Cake Canapé:  A small round crab cake topped with a dollop of tartar sauce and a sprig of parsley.
Canapés,Mini Taco Canapé," A small taco shell filled with ground beef, shredded lettuce, diced tomatoes, and grated cheese.","A photograph of Mini Taco Canapé:  A small taco shell filled with ground beef, shredded lettuce, diced tomatoes, and grated cheese."
Canapés,Sushi Canapé, A small piece of sushi with a slice of raw fish on top of a ball of vinegared rice.,A photograph of Sushi Canapé:  A small piece of sushi with a slice of raw fish on top of a ball of vinegared rice.
Canapés,Mini Hot Dog Canapé, A mini hot dog bun filled with a small sausage and topped with mustard and ketchup.,A photograph of Mini Hot Dog Canapé:  A mini hot dog bun filled with a small sausage and topped with mustard and ketchup.
Canapés,Cheese and Grape Canapé, A small skewer with a cube of cheese and a grape.,A photograph of Cheese and Grape Canapé:  A small skewer with a cube of cheese and a grape.
Canapés,Mini Pancake Canapé, A small pancake topped with a dollop of cream and a piece of fruit.,A photograph of Mini Pancake Canapé:  A small pancake topped with a dollop of cream and a piece of fruit.
Canapés,Mini Cupcake Canapé, A small cupcake with a swirl of frosting and a sprinkle of decorations.,A photograph of Mini Cupcake Canapé:  A small cupcake with a swirl of frosting and a sprinkle of decorations.
Canapés,Chocolate Truffle Canapé, A small round chocolate truffle dusted with cocoa powder.,A photograph of Chocolate Truffle Canapé:  A small round chocolate truffle dusted with cocoa powder.
Finger Food,Chicken Skewers," Long wooden skewers threaded with bite-sized pieces of grilled chicken, often charred slightly.","A photograph of Chicken Skewers:  Long wooden skewers threaded with bite-sized pieces of grilled chicken, often charred slightly."
Finger Food,Meatballs," Small, round, browned meatballs often served with a toothpick in the center.","A photograph of Meatballs:  Small, round, browned meatballs often served with a toothpick in the center."
Finger Food,Mini Sliders," Tiny burgers with a small beef patty, cheese, lettuce, and tomato between two small buns.","A photograph of Mini Sliders:  Tiny burgers with a small beef patty, cheese, lettuce, and tomato between two small buns."
Finger Food,Mini Sandwiches," Small, triangular sandwiches with various fillings, often displayed in a stack.","A photograph of Mini Sandwiches:  Small, triangular sandwiches with various fillings, often displayed in a stack."
Finger Food,Vegetable Crudites," An assortment of colorful, raw vegetables often served with a dip in the center.","A photograph of Vegetable Crudites:  An assortment of colorful, raw vegetables often served with a dip in the center."
Finger Food,Spinach and Artichoke Dip," A creamy, greenish dip served in a bowl, often with bread or chips for dipping.","A photograph of Spinach and Artichoke Dip:  A creamy, greenish dip served in a bowl, often with bread or chips for dipping."
Finger Food,Chicken Wings," Small pieces of chicken, often coated in a shiny, red or orange sauce.","A photograph of Chicken Wings:  Small pieces of chicken, often coated in a shiny, red or orange sauce."
Finger Food,Mini Pizzas," Small, round pizzas with a golden-brown crust, red sauce, cheese, and various toppings.","A photograph of Mini Pizzas:  Small, round pizzas with a golden-brown crust, red sauce, cheese, and various toppings."
Afternoon Tea,Classic Scones," Round, golden-brown baked goods, often split open with a dollop of cream and strawberry jam.","A photograph of Classic Scones:  Round, golden-brown baked goods, often split open with a dollop of cream and strawberry jam."
Afternoon Tea,Finger Sandwiches," Small, rectangular sandwiches with crusts removed. Fillings may vary, but cucumber and smoked salmon are common.","A photograph of Finger Sandwiches:  Small, rectangular sandwiches with crusts removed. Fillings may vary, but cucumber and smoked salmon are common."
Afternoon Tea,Petit Fours," Small, square or rectangular pastries, often coated in a glossy icing of various colors.","A photograph of Petit Fours:  Small, square or rectangular pastries, often coated in a glossy icing of various colors."
Afternoon Tea,Victoria Sponge Cake," A round, golden cake with a layer of cream and jam in the middle, dusted with powdered sugar on top.","A photograph of Victoria Sponge Cake:  A round, golden cake with a layer of cream and jam in the middle, dusted with powdered sugar on top."
Afternoon Tea,Lemon Drizzle Cake," A rectangular, golden cake with a visible, shiny lemon glaze on top.","A photograph of Lemon Drizzle Cake:  A rectangular, golden cake with a visible, shiny lemon glaze on top."
Afternoon Tea,Battenberg Cake," A square cake with a checkered pattern of pink and yellow squares, wrapped in marzipan.","A photograph of Battenberg Cake:  A square cake with a checkered pattern of pink and yellow squares, wrapped in marzipan."
Afternoon Tea,Profiteroles," Small, round, golden pastries often filled with cream and topped with chocolate.","A photograph of Profiteroles:  Small, round, golden pastries often filled with cream and topped with chocolate."
Afternoon Tea,Tea Cakes," Round, chocolate-coated marshmallow treats with a biscuit base.","A photograph of Tea Cakes:  Round, chocolate-coated marshmallow treats with a biscuit base."
Afternoon Tea,Fruit Tartlets," Small, round pastries with a crème patisserie filling, topped with various fresh fruits.","A photograph of Fruit Tartlets:  Small, round pastries with a crème patisserie filling, topped with various fresh fruits."
Afternoon Tea,Madeleines," Small, shell-shaped, golden-brown cakes.","A photograph of Madeleines:  Small, shell-shaped, golden-brown cakes."
Afternoon Tea,Shortbread Cookies," Round or rectangular, pale golden cookies, often with a pattern imprinted on the top.","A photograph of Shortbread Cookies:  Round or rectangular, pale golden cookies, often with a pattern imprinted on the top."
Afternoon Tea,Meringues," Small, round, white and airy sweets, often paired with cream and fruits.","A photograph of Meringues:  Small, round, white and airy sweets, often paired with cream and fruits."
Afternoon Tea,Chocolate Truffles," Small, round, dark chocolate treats, often dusted with cocoa powder.","A photograph of Chocolate Truffles:  Small, round, dark chocolate treats, often dusted with cocoa powder."
Afternoon Tea,Raspberry Cheesecake," A small, round dessert with a creamy white filling and a red raspberry topping.","A photograph of Raspberry Cheesecake:  A small, round dessert with a creamy white filling and a red raspberry topping."
Afternoon Tea,Carrot Cake," A square or rectangular, brown cake with visible carrot pieces, often topped with white cream cheese frosting.","A photograph of Carrot Cake:  A square or rectangular, brown cake with visible carrot pieces, often topped with white cream cheese frosting."
Afternoon Tea,Opera Cake," A small, rectangular, layered cake with alternating light and dark layers, topped with a glossy chocolate glaze.","A photograph of Opera Cake:  A small, rectangular, layered cake with alternating light and dark layers, topped with a glossy chocolate glaze."
Afternoon Tea,Chocolate Mousse," A small, round dessert with a smooth, dark, creamy texture.","A photograph of Chocolate Mousse:  A small, round dessert with a smooth, dark, creamy texture."
Midnight Snack,Grilled Cheese Sandwich, Golden-brown toasted bread with melted cheese peeking out from the edges.,A photograph of Grilled Cheese Sandwich:  Golden-brown toasted bread with melted cheese peeking out from the edges.
Midnight Snack,Peanut Butter and Jelly Sandwich," Two slices of bread, one smeared with glossy peanut butter, the other with a layer of glistening jelly.","A photograph of Peanut Butter and Jelly Sandwich:  Two slices of bread, one smeared with glossy peanut butter, the other with a layer of glistening jelly."
