subtype,species_latin_name,species_common_name,species_description,SD_prompt
Caryophyllales,Opuntia,Prickly Pear," Cactus with flat, rounded segments and large, yellow flowers.","A photograph of a Prickly Pear (Opuntia): Cactus with flat, rounded segments and large, yellow flowers."
Celastrales,Euonymus japonicus,Japanese Euonymus," Glossy, leathery leaves with yellow margins, and small, greenish-white flowers.","A photograph of a Japanese Euonymus (Euonymus japonicus): Glossy, leathery leaves with yellow margins, and small, greenish-white flowers."
Celastrales,Celastrus scandens,American Bittersweet, Clusters of orange-yellow capsules that open to reveal scarlet seeds.,A photograph of a American Bittersweet (Celastrus scandens): Clusters of orange-yellow capsules that open to reveal scarlet seeds.
Celastrales,Euonymus europaeus,Spindle Tree," Pink-red, four-lobed fruit capsules that open to reveal orange seeds.","A photograph of a Spindle Tree (Euonymus europaeus): Pink-red, four-lobed fruit capsules that open to reveal orange seeds."
Celastrales,Euonymus alatus,Winged Spindle," Corky 'wings' on branches, small greenish flowers, and red autumn leaves.","A photograph of a Winged Spindle (Euonymus alatus): Corky 'wings' on branches, small greenish flowers, and red autumn leaves."
Celastrales,Elaeagnus pungens,Silverberry," Silver-scaled leaves and small, fragrant, silvery flowers.","A photograph of a Silverberry (Elaeagnus pungens): Silver-scaled leaves and small, fragrant, silvery flowers."
Celastrales,Euonymus atropurpureus,Burning Bush, Dark purple fruit and brilliant red fall foliage.,A photograph of a Burning Bush (Euonymus atropurpureus): Dark purple fruit and brilliant red fall foliage.
Celastrales,Celastrus orbiculatus,Staff Vine, Yellow-orange fruit capsules that open to reveal bright red seeds.,A photograph of a Staff Vine (Celastrus orbiculatus): Yellow-orange fruit capsules that open to reveal bright red seeds.
Celastrales,Euonymus fortunei,Winter Creeper," Evergreen leaves, small greenish-white flowers, and pink to red fruit.","A photograph of a Winter Creeper (Euonymus fortunei): Evergreen leaves, small greenish-white flowers, and pink to red fruit."
Celastrales,Euonymus americanus,Hearts-a-Bustin," Warty, pink to red fruit capsules that open to reveal bright orange seeds.","A photograph of a Hearts-a-Bustin (Euonymus americanus): Warty, pink to red fruit capsules that open to reveal bright orange seeds."
Celastrales,Euonymus obovatus,Strawberry Bush," Greenish-white flowers and warty, pink to red fruit capsules.","A photograph of a Strawberry Bush (Euonymus obovatus): Greenish-white flowers and warty, pink to red fruit capsules."
Celastrales,Euonymus atropurpureus,Wahoo, Purple fruit and scarlet fall foliage.,A photograph of a Wahoo (Euonymus atropurpureus): Purple fruit and scarlet fall foliage.
Celastrales,Euonymus sieboldianus,Muku Tree, Greenish-white flowers and pink to red fruit.,A photograph of a Muku Tree (Euonymus sieboldianus): Greenish-white flowers and pink to red fruit.
Celastrales,Euonymus latifolius,Broadleaf Euonymus," Broad leaves, small greenish flowers, and pink to red fruit.","A photograph of a Broadleaf Euonymus (Euonymus latifolius): Broad leaves, small greenish flowers, and pink to red fruit."
Celastrales,Euonymus thunbergii,Thunberg's Spindle, Pink-red fruit capsules and bright red autumn leaves.,A photograph of a Thunberg's Spindle (Euonymus thunbergii): Pink-red fruit capsules and bright red autumn leaves.
Celastrales,Euonymus fortunei va,Himalayan Spindle, Small greenish-white flowers and pink to red fruit.,A photograph of a Himalayan Spindle (Euonymus fortunei va): Small greenish-white flowers and pink to red fruit.
Celastrales,Euonymus japonicus 'Microphyllus',Boxleaf Euonymus," Small, box-like leaves and greenish-white flowers.","A photograph of a Boxleaf Euonymus (Euonymus japonicus 'Microphyllus'): Small, box-like leaves and greenish-white flowers."
Celastrales,Elaeagnus pungens 'Fruitlandii',Silverthorn," Silver-scaled leaves and small, fragrant, silvery flowers.","A photograph of a Silverthorn (Elaeagnus pungens 'Fruitlandii'): Silver-scaled leaves and small, fragrant, silvery flowers."
Celastrales,Elaeagnus multiflora,Goumi," Red, cherry-like fruit and silver-scaled leaves.","A photograph of a Goumi (Elaeagnus multiflora): Red, cherry-like fruit and silver-scaled leaves."
Celastrales,Elaeagnus angustifolia,Russian Olive," Silver-scaled leaves and yellow, olive-like fruit.","A photograph of a Russian Olive (Elaeagnus angustifolia): Silver-scaled leaves and yellow, olive-like fruit."
Celastrales,Elaeagnus umbellata,Autumn Olive," Silver-scaled leaves and red, olive-like fruit.","A photograph of a Autumn Olive (Elaeagnus umbellata): Silver-scaled leaves and red, olive-like fruit."
Ceratophyllales,Ceratophyllum demersum,Common Hornwort," Dark green, submerged aquatic plant with whorled, forked leaves resembling deer antlers.","A photograph of a Common Hornwort (Ceratophyllum demersum): Dark green, submerged aquatic plant with whorled, forked leaves resembling deer antlers."
Ceratophyllales,Ceratophyllum echinatum,Spiny Hornwort, Similar to common hornwort but with tiny spines on leaves and stems.,A photograph of a Spiny Hornwort (Ceratophyllum echinatum): Similar to common hornwort but with tiny spines on leaves and stems.
Ceratophyllales,Ceratophyllum submersum,Soft Hornwort," Lighter green, softer leaves than other hornworts, often found floating rather than submerged.","A photograph of a Soft Hornwort (Ceratophyllum submersum): Lighter green, softer leaves than other hornworts, often found floating rather than submerged."
Ceratophyllales,Ceratophyllum muricatum,Rigid Hornwort," Stiff, rigid leaves and stems, often found in colder waters.","A photograph of a Rigid Hornwort (Ceratophyllum muricatum): Stiff, rigid leaves and stems, often found in colder waters."
Ceratophyllales,Ceratophyllum australe,Eastern Hornwort," Native to Australia, with smaller, more delicate leaves than other hornworts.","A photograph of a Eastern Hornwort (Ceratophyllum australe): Native to Australia, with smaller, more delicate leaves than other hornworts."
Ceratophyllales,Ceratophyllum platyacanthum,Tropical Hornwort," Found in tropical regions, with wider, flatter leaves.","A photograph of a Tropical Hornwort (Ceratophyllum platyacanthum): Found in tropical regions, with wider, flatter leaves."
Ceratophyllales,Ceratophyllum demersum va,African Hornwort," A variety of common hornwort native to Africa, with slightly longer leaves.","A photograph of a African Hornwort (Ceratophyllum demersum va): A variety of common hornwort native to Africa, with slightly longer leaves."
Ceratophyllales,Ceratophyllum demersum va,Asian Hornwort," A variety of common hornwort native to Asia, with slightly shorter leaves.","A photograph of a Asian Hornwort (Ceratophyllum demersum va): A variety of common hornwort native to Asia, with slightly shorter leaves."
Ceratophyllales,Ceratophyllum demersum va,European Hornwort," A variety of common hornwort native to Europe, with slightly wider leaves.","A photograph of a European Hornwort (Ceratophyllum demersum va): A variety of common hornwort native to Europe, with slightly wider leaves."
Ceratophyllales,Ceratophyllum demersum va,American Hornwort," A variety of common hornwort native to America, with slightly narrower leaves.","A photograph of a American Hornwort (Ceratophyllum demersum va): A variety of common hornwort native to America, with slightly narrower leaves."
Commelinales,Tradescantia virginiana,Spiderwort," Blue or purple three-petaled flowers, long, thin leaves.","A photograph of a Spiderwort (Tradescantia virginiana): Blue or purple three-petaled flowers, long, thin leaves."
Commelinales,Commelina communis,Dayflower," Bright blue flowers, green leaves with sheathing base.","A photograph of a Dayflower (Commelina communis): Bright blue flowers, green leaves with sheathing base."
Commelinales,Tradescantia zebrina,Wandering Jew," Striped purple and silver leaves, pink flowers.","A photograph of a Wandering Jew (Tradescantia zebrina): Striped purple and silver leaves, pink flowers."
Commelinales,Callisia repens,Inch Plant," Small, round, glossy green leaves, tiny white flowers.","A photograph of a Inch Plant (Callisia repens): Small, round, glossy green leaves, tiny white flowers."
Commelinales,Tradescantia spathacea,Moses-in-the-Cradle," Sword-shaped leaves, green on top, purple underneath.","A photograph of a Moses-in-the-Cradle (Tradescantia spathacea): Sword-shaped leaves, green on top, purple underneath."
Commelinales,Gossypium hirsutum,White Gossypium," Yellow flowers, broad lobed leaves, produces cotton bolls.","A photograph of a White Gossypium (Gossypium hirsutum): Yellow flowers, broad lobed leaves, produces cotton bolls."
Commelinales,Abelmoschus esculentus,Okra," Yellow flowers with red center, lobed leaves, green seed pods.","A photograph of a Okra (Abelmoschus esculentus): Yellow flowers with red center, lobed leaves, green seed pods."
Commelinales,Hibiscus sabdariffa,Roselle," Red stems and veins, lobed leaves, yellow flowers with red center.","A photograph of a Roselle (Hibiscus sabdariffa): Red stems and veins, lobed leaves, yellow flowers with red center."
Commelinales,Hibiscus cannabinus,Kenaf," Yellow flowers, palmately lobed leaves, used for fiber production.","A photograph of a Kenaf (Hibiscus cannabinus): Yellow flowers, palmately lobed leaves, used for fiber production."
Commelinales,Sida rhombifolia,Sida," Yellow flowers, diamond-shaped leaves, produces small nutlets.","A photograph of a Sida (Sida rhombifolia): Yellow flowers, diamond-shaped leaves, produces small nutlets."
Commelinales,Aeschynomene americana,Sleepy Plant," Yellow flowers, pinnately compound leaves, closes leaves at night.","A photograph of a Sleepy Plant (Aeschynomene americana): Yellow flowers, pinnately compound leaves, closes leaves at night."
Commelinales,Pontederia cordata,Pickerelweed," Blue-purple flowers, heart-shaped leaves, grows in water.","A photograph of a Pickerelweed (Pontederia cordata): Blue-purple flowers, heart-shaped leaves, grows in water."
Commelinales,Lemna minor,Duckweed," Tiny green leaves, smallest flowering plant, floats on water.","A photograph of a Duckweed (Lemna minor): Tiny green leaves, smallest flowering plant, floats on water."
Commelinales,Wolffia arrhiza,Watermeal," Tiny green leaves, smallest flowering plant, floats on water.","A photograph of a Watermeal (Wolffia arrhiza): Tiny green leaves, smallest flowering plant, floats on water."
Commelinales,Trapa bicornis,Water Caltrop," White flowers, floating rosette of toothed leaves, underwater stem.","A photograph of a Water Caltrop (Trapa bicornis): White flowers, floating rosette of toothed leaves, underwater stem."
Commelinales,Victoria amazonica,Giant Water Lily," Huge round leaves, white to pink flowers, floats on water.","A photograph of a Giant Water Lily (Victoria amazonica): Huge round leaves, white to pink flowers, floats on water."
Cornales,Cornus nuttallii,Pacific Dogwood," White, petal-like bracts surrounding a cluster of tiny green flowers. Reddish-purple fall foliage.","A photograph of a Pacific Dogwood (Cornus nuttallii): White, petal-like bracts surrounding a cluster of tiny green flowers. Reddish-purple fall foliage."
Cornales,Cornus florida,Flowering Dogwood, Notable for its showy white or pink bracts and red berries. Leaves turn red-purple in autumn.,A photograph of a Flowering Dogwood (Cornus florida): Notable for its showy white or pink bracts and red berries. Leaves turn red-purple in autumn.
Cornales,Cornus kousa,Kousa Dogwood," Small tree with white or pink bracts. Produces pinkish-red, raspberry-like fruits.","A photograph of a Kousa Dogwood (Cornus kousa): Small tree with white or pink bracts. Produces pinkish-red, raspberry-like fruits."
Cornales,Nyssa sylvatica,Black Tupelo," Known for its brilliant red autumn color. Produces small, blue-black fruits.","A photograph of a Black Tupelo (Nyssa sylvatica): Known for its brilliant red autumn color. Produces small, blue-black fruits."
Cornales,Nyssa aquatica,Water Tupelo," Large tree with a swollen base. Leaves are glossy green, turning yellow in fall.","A photograph of a Water Tupelo (Nyssa aquatica): Large tree with a swollen base. Leaves are glossy green, turning yellow in fall."
Cornales,Nyssa ogeche,Ogeechee Lime," Small tree with shiny, leathery leaves. Produces tart, red fruits.","A photograph of a Ogeechee Lime (Nyssa ogeche): Small tree with shiny, leathery leaves. Produces tart, red fruits."
Cornales,Nyssa sinensis,Chinese Tupelo," Large tree with glossy, dark green leaves. Produces small, blue-black fruits.","A photograph of a Chinese Tupelo (Nyssa sinensis): Large tree with glossy, dark green leaves. Produces small, blue-black fruits."
Cornales,Cornus foemina,Swamp Dogwood, Shrub with clusters of white flowers. Produces bluish-white fruits.,A photograph of a Swamp Dogwood (Cornus foemina): Shrub with clusters of white flowers. Produces bluish-white fruits.
Cornales,Cornus drummondii,Roughleaf Dogwood, Shrub with clusters of white flowers. Leaves have a rough texture.,A photograph of a Roughleaf Dogwood (Cornus drummondii): Shrub with clusters of white flowers. Leaves have a rough texture.
Cornales,Cornus amomum,Silky Dogwood, Shrub with clusters of white flowers. Produces bluish fruits.,A photograph of a Silky Dogwood (Cornus amomum): Shrub with clusters of white flowers. Produces bluish fruits.
Cornales,Cornus sericea,Red Osier Dogwood, Shrub with red stems. Produces white or bluish fruits.,A photograph of a Red Osier Dogwood (Cornus sericea): Shrub with red stems. Produces white or bluish fruits.
Cornales,Cornus racemosa,Gray Dogwood, Shrub with clusters of white flowers. Produces white fruits.,A photograph of a Gray Dogwood (Cornus racemosa): Shrub with clusters of white flowers. Produces white fruits.
Cornales,Cornus rugosa,Roundleaf Dogwood, Shrub with round leaves. Produces bluish fruits.,A photograph of a Roundleaf Dogwood (Cornus rugosa): Shrub with round leaves. Produces bluish fruits.
Cornales,Cornus foemina,Stiff Dogwood, Shrub with clusters of white flowers. Produces bluish fruits.,A photograph of a Stiff Dogwood (Cornus foemina): Shrub with clusters of white flowers. Produces bluish fruits.
Cornales,Cornus alternifolia,Alternate-Leaf Dogwood, Shrub with alternate leaf arrangement. Produces bluish-black fruits.,A photograph of a Alternate-Leaf Dogwood (Cornus alternifolia): Shrub with alternate leaf arrangement. Produces bluish-black fruits.
Cornales,Cornus controversa,Pagoda Dogwood, Small tree with layered branches. Produces black fruits.,A photograph of a Pagoda Dogwood (Cornus controversa): Small tree with layered branches. Produces black fruits.
Cornales,Cornus mas,Cornelian Cherry," Small tree with yellow flowers. Produces red, cherry-like fruits.","A photograph of a Cornelian Cherry (Cornus mas): Small tree with yellow flowers. Produces red, cherry-like fruits."
Cornales,Cornus officinalis,Japanese Cornel," Small tree with yellow flowers. Produces red, cherry-like fruits.","A photograph of a Japanese Cornel (Cornus officinalis): Small tree with yellow flowers. Produces red, cherry-like fruits."
Cornales,Cornus nuttallii,Mountain Dogwood, Small tree with white bracts. Produces red fruits.,A photograph of a Mountain Dogwood (Cornus nuttallii): Small tree with white bracts. Produces red fruits.
Cornales,Cornus canadensis,Bunchberry, Groundcover with white bracts. Produces bright red fruits.,A photograph of a Bunchberry (Cornus canadensis): Groundcover with white bracts. Produces bright red fruits.
Crossosomatales,Crossosoma bigelovii,Apache Plant," Small shrub with long, thin branches and small, round, green leaves.","A photograph of a Apache Plant (Crossosoma bigelovii): Small shrub with long, thin branches and small, round, green leaves."
Crossosomatales,Crossosoma californicum,Rock Nettle," Spiny plant with white flowers and long, narrow leaves.","A photograph of a Rock Nettle (Crossosoma californicum): Spiny plant with white flowers and long, narrow leaves."
Crossosomatales,Grossulariaceae ribes,Catalina Mahogany, Shrub with dark green leaves and clusters of red berries.,A photograph of a Catalina Mahogany (Grossulariaceae ribes): Shrub with dark green leaves and clusters of red berries.
Crossosomatales,Ribes uva-crispa,Gooseberry," Small bush with spiky stems, lobed leaves, and greenish-yellow berries.","A photograph of a Gooseberry (Ribes uva-crispa): Small bush with spiky stems, lobed leaves, and greenish-yellow berries."
Crossosomatales,Ribes nigrum,Black Currant," Bushy plant with glossy, dark green leaves and black berries.","A photograph of a Black Currant (Ribes nigrum): Bushy plant with glossy, dark green leaves and black berries."
Crossosomatales,Ribes rubrum,Red Currant, Shrub with bright green leaves and clusters of red berries.,A photograph of a Red Currant (Ribes rubrum): Shrub with bright green leaves and clusters of red berries.
Crossosomatales,Ribes aureum,Golden Currant, Shrub with lobed leaves and yellow flowers that turn into black berries.,A photograph of a Golden Currant (Ribes aureum): Shrub with lobed leaves and yellow flowers that turn into black berries.
Crossosomatales,Ribes cereum,Wax Currant," Compact shrub with small, round leaves and red berries.","A photograph of a Wax Currant (Ribes cereum): Compact shrub with small, round leaves and red berries."
Crossosomatales,Ribes bracteosum,Stink Currant, Plant with broad leaves and clusters of red berries that emit a foul odor.,A photograph of a Stink Currant (Ribes bracteosum): Plant with broad leaves and clusters of red berries that emit a foul odor.
Crossosomatales,Ribes lacustre,Prickly Currant," Shrub with prickly stems, lobed leaves, and black berries.","A photograph of a Prickly Currant (Ribes lacustre): Shrub with prickly stems, lobed leaves, and black berries."
Crossosomatales,Ribes montigenum,Alpine Prickly Currant," Small shrub with spiny stems, small leaves, and red berries.","A photograph of a Alpine Prickly Currant (Ribes montigenum): Small shrub with spiny stems, small leaves, and red berries."
Crossosomatales,Ribes viscosissimum,Sticky Currant, Plant with sticky leaves and clusters of red berries.,A photograph of a Sticky Currant (Ribes viscosissimum): Plant with sticky leaves and clusters of red berries.
Crossosomatales,Ribes malvaceum,Chaparral Currant, Shrub with lobed leaves and clusters of pink flowers.,A photograph of a Chaparral Currant (Ribes malvaceum): Shrub with lobed leaves and clusters of pink flowers.
Crossosomatales,Ribes nevadense,Sierra Currant, Plant with bright green leaves and clusters of pink flowers.,A photograph of a Sierra Currant (Ribes nevadense): Plant with bright green leaves and clusters of pink flowers.
Crossosomatales,Ribes californicum,Hillside Gooseberry," Shrub with spiny stems, lobed leaves, and red berries.","A photograph of a Hillside Gooseberry (Ribes californicum): Shrub with spiny stems, lobed leaves, and red berries."
Crossosomatales,Ribes speciosum,Fuchsia-flowered Gooseberry," Shrub with spiny stems, dark green leaves, and red, fuchsia-like flowers.","A photograph of a Fuchsia-flowered Gooseberry (Ribes speciosum): Shrub with spiny stems, dark green leaves, and red, fuchsia-like flowers."
Crossosomatales,Ribes lacustre,Bristly Black Currant," Shrub with prickly stems, lobed leaves, and black berries.","A photograph of a Bristly Black Currant (Ribes lacustre): Shrub with prickly stems, lobed leaves, and black berries."
Crossosomatales,Ribes menziesii,Canyon Gooseberry," Shrub with spiny stems, lobed leaves, and red berries.","A photograph of a Canyon Gooseberry (Ribes menziesii): Shrub with spiny stems, lobed leaves, and red berries."
Crossosomatales,Ribes sanguineum,Pink-flowered Currant, Shrub with lobed leaves and clusters of pink flowers.,A photograph of a Pink-flowered Currant (Ribes sanguineum): Shrub with lobed leaves and clusters of pink flowers.
Crossosomatales,Ribes indecorum,White-flowered Currant, Shrub with lobed leaves and clusters of white flowers.,A photograph of a White-flowered Currant (Ribes indecorum): Shrub with lobed leaves and clusters of white flowers.
Cucurbitales,Cucurbita pepo,Pumpkin," Round, orange fruit with a thick rind, often used for carving during Halloween.","A photograph of a Pumpkin (Cucurbita pepo): Round, orange fruit with a thick rind, often used for carving during Halloween."
Cucurbitales,Cucumis sativus,Cucumber," Long, green fruit with a crisp texture and a mild, refreshing taste.","A photograph of a Cucumber (Cucumis sativus): Long, green fruit with a crisp texture and a mild, refreshing taste."
Cucurbitales,Citrullus lanatus,Watermelon," Large, round fruit with a green rind and sweet, juicy, red flesh.","A photograph of a Watermelon (Citrullus lanatus): Large, round fruit with a green rind and sweet, juicy, red flesh."
Cucurbitales,Cucurbita pepo subs,Zucchini," Green, elongated fruit often used in cooking.","A photograph of a Zucchini (Cucurbita pepo subs): Green, elongated fruit often used in cooking."
Cucurbitales,Momordica charantia,Bitter Melon," Warty, oblong fruit with a bitter taste, often used in Asian cuisine.","A photograph of a Bitter Melon (Momordica charantia): Warty, oblong fruit with a bitter taste, often used in Asian cuisine."
Cucurbitales,Cucumis melo,Cantaloupe," Round fruit with a netted rind and sweet, orange flesh.","A photograph of a Cantaloupe (Cucumis melo): Round fruit with a netted rind and sweet, orange flesh."
Cucurbitales,Cucumis melo subs,Honeydew Melon," Round fruit with a smooth, pale rind and sweet, green flesh.","A photograph of a Honeydew Melon (Cucumis melo subs): Round fruit with a smooth, pale rind and sweet, green flesh."
Cucurbitales,Cucurbita moschata,Butternut Squash," Pear-shaped fruit with a tan rind and sweet, orange flesh.","A photograph of a Butternut Squash (Cucurbita moschata): Pear-shaped fruit with a tan rind and sweet, orange flesh."
Cucurbitales,Cucurbita pepo subs,Spaghetti Squash, Oblong fruit with a yellow rind; its flesh separates into strands like spaghetti.,A photograph of a Spaghetti Squash (Cucurbita pepo subs): Oblong fruit with a yellow rind; its flesh separates into strands like spaghetti.
Cucurbitales,Cucurbita pepo va,Acorn Squash," Dark green, acorn-shaped fruit with a hard rind and sweet, yellow flesh.","A photograph of a Acorn Squash (Cucurbita pepo va): Dark green, acorn-shaped fruit with a hard rind and sweet, yellow flesh."
Cucurbitales,Cucurbita maxima,Kabocha Squash," Round, green fruit with a hard rind and sweet, yellow flesh.","A photograph of a Kabocha Squash (Cucurbita maxima): Round, green fruit with a hard rind and sweet, yellow flesh."
Cucurbitales,Sechium edule,Chayote," Green, wrinkled fruit that resembles a wrinkled apple or pear.","A photograph of a Chayote (Sechium edule): Green, wrinkled fruit that resembles a wrinkled apple or pear."
Cucurbitales,Luffa aegyptiaca,Luffa," Elongated, ridged fruit that when mature, can be used as a natural sponge.","A photograph of a Luffa (Luffa aegyptiaca): Elongated, ridged fruit that when mature, can be used as a natural sponge."
Cucurbitales,Lagenaria siceraria,Bottle Gourd," Large, bottle-shaped fruit with a hard, smooth rind.","A photograph of a Bottle Gourd (Lagenaria siceraria): Large, bottle-shaped fruit with a hard, smooth rind."
Cucurbitales,Benincasa hispida,Wax Gourd," Large, oblong fruit with a waxy rind and white flesh.","A photograph of a Wax Gourd (Benincasa hispida): Large, oblong fruit with a waxy rind and white flesh."
Cucurbitales,Trichosanthes cucumerina,Snake Gourd," Long, curved fruit with a thin, green rind.","A photograph of a Snake Gourd (Trichosanthes cucumerina): Long, curved fruit with a thin, green rind."
Cucurbitales,Luffa cylindrica,Sponge Gourd, Elongated fruit with a ridged rind that can be used as a sponge when mature.,A photograph of a Sponge Gourd (Luffa cylindrica): Elongated fruit with a ridged rind that can be used as a sponge when mature.
Cucurbitales,Cucumis melo va,Armenian Cucumber," Long, slender fruit with a thin, green rind.","A photograph of a Armenian Cucumber (Cucumis melo va): Long, slender fruit with a thin, green rind."
Cucurbitales,Cucumis metuliferus,Horned Melon," Oblong fruit with a spiky, orange rind and bright green flesh.","A photograph of a Horned Melon (Cucumis metuliferus): Oblong fruit with a spiky, orange rind and bright green flesh."
Cucurbitales,Cucumis melo va,Casaba Melon," Large, round fruit with a wrinkled, yellow rind and sweet, white flesh.","A photograph of a Casaba Melon (Cucumis melo va): Large, round fruit with a wrinkled, yellow rind and sweet, white flesh."
Dilleniales,Tetracera hydrophila,Tetracera hydrophila," A small tree with elliptical leaves, white flowers with four petals, and small, round, red fruits.","A photograph of a Tetracera hydrophila (Tetracera hydrophila): A small tree with elliptical leaves, white flowers with four petals, and small, round, red fruits."
Dilleniales,Doliocarpus dentatus,Doliocarpus dentatus," A large tree with oblong leaves, small greenish-white flowers, and elongated, green fruits.","A photograph of a Doliocarpus dentatus (Doliocarpus dentatus): A large tree with oblong leaves, small greenish-white flowers, and elongated, green fruits."
Dilleniales,Tetracera volubilis,Tetracera volubilis," A climbing shrub with heart-shaped leaves, small white flowers, and red, round fruits.","A photograph of a Tetracera volubilis (Tetracera volubilis): A climbing shrub with heart-shaped leaves, small white flowers, and red, round fruits."
Dilleniales,Doliocarpus brevipedicellatus,Doliocarpus brevipedicellatus," A tree with large, oval leaves, small, yellowish flowers, and elongated, green fruits.","A photograph of a Doliocarpus brevipedicellatus (Doliocarpus brevipedicellatus): A tree with large, oval leaves, small, yellowish flowers, and elongated, green fruits."
Dilleniales,Tetracera indica,Tetracera indica," A small tree with oval leaves, small white flowers, and round, red fruits.","A photograph of a Tetracera indica (Tetracera indica): A small tree with oval leaves, small white flowers, and round, red fruits."
Dilleniales,Doliocarpus major,Doliocarpus major," A large tree with oblong leaves, small, greenish-white flowers, and elongated, green fruits.","A photograph of a Doliocarpus major (Doliocarpus major): A large tree with oblong leaves, small, greenish-white flowers, and elongated, green fruits."
Dilleniales,Tetracera portobellensis,Tetracera portobellensis," A shrub with heart-shaped leaves, small white flowers, and round, red fruits.","A photograph of a Tetracera portobellensis (Tetracera portobellensis): A shrub with heart-shaped leaves, small white flowers, and round, red fruits."
Dilleniales,Doliocarpus olivaceus,Doliocarpus olivaceus," A tree with large, oval leaves, small, yellowish flowers, and elongated, green fruits.","A photograph of a Doliocarpus olivaceus (Doliocarpus olivaceus): A tree with large, oval leaves, small, yellowish flowers, and elongated, green fruits."
Dilleniales,Tetracera surinamensis,Tetracera surinamensis," A small tree with oval leaves, small white flowers, and round, red fruits.","A photograph of a Tetracera surinamensis (Tetracera surinamensis): A small tree with oval leaves, small white flowers, and round, red fruits."
Dilleniales,Doliocarpus multiflorus,Doliocarpus multiflorus," A large tree with oblong leaves, small, greenish-white flowers, and elongated, green fruits.","A photograph of a Doliocarpus multiflorus (Doliocarpus multiflorus): A large tree with oblong leaves, small, greenish-white flowers, and elongated, green fruits."
Dipsacales,Dipsacus fullonum,Common Teasel," Tall plant with spiky, egg-shaped flower heads that are purple when in bloom.","A photograph of a Common Teasel (Dipsacus fullonum): Tall plant with spiky, egg-shaped flower heads that are purple when in bloom."
Dipsacales,Dipsacus pilosus,Small Teasel," Features small, white flowers and spiny bracts, less robust than the common teasel.","A photograph of a Small Teasel (Dipsacus pilosus): Features small, white flowers and spiny bracts, less robust than the common teasel."
Dipsacales,Knautia arvensis,Field Scabious," Light purple, pin cushion-like flowers on long stems with lobed leaves.","A photograph of a Field Scabious (Knautia arvensis): Light purple, pin cushion-like flowers on long stems with lobed leaves."
Dipsacales,Succisa pratensis,Devil's Bit Scabious," Blue-violet flowers with a pincushion appearance, shorter than other scabious species.","A photograph of a Devil's Bit Scabious (Succisa pratensis): Blue-violet flowers with a pincushion appearance, shorter than other scabious species."
Dipsacales,Linnaea borealis,Twinflower," Small, bell-shaped pink flowers that hang in pairs from a slender stalk.","A photograph of a Twinflower (Linnaea borealis): Small, bell-shaped pink flowers that hang in pairs from a slender stalk."
Dipsacales,Lonicera periclymenum,Honeysuckle," Climbing plant with tubular, sweet-scented flowers that are white-pink and yellow.","A photograph of a Honeysuckle (Lonicera periclymenum): Climbing plant with tubular, sweet-scented flowers that are white-pink and yellow."
Dipsacales,Centranthus ruber,Red Valerian," Clusters of small, trumpet-shaped flowers in shades of pink and red.","A photograph of a Red Valerian (Centranthus ruber): Clusters of small, trumpet-shaped flowers in shades of pink and red."
Dipsacales,Sambucus nigra,Elder," Shrub with clusters of tiny white flowers and small, dark berries.","A photograph of a Elder (Sambucus nigra): Shrub with clusters of tiny white flowers and small, dark berries."
Dipsacales,Viburnum opulus,Guelder Rose, Deciduous shrub with clusters of white flowers and bright red berries.,A photograph of a Guelder Rose (Viburnum opulus): Deciduous shrub with clusters of white flowers and bright red berries.
Dipsacales,Viburnum lantana,Wayfaring Tree, Shrub with clusters of small white flowers and red to black berries.,A photograph of a Wayfaring Tree (Viburnum lantana): Shrub with clusters of small white flowers and red to black berries.
Dipsacales,Viburnum opulus 'Roseum',Snowball Tree," Large white, ball-shaped clusters of flowers, does not produce red berries.","A photograph of a Snowball Tree (Viburnum opulus 'Roseum'): Large white, ball-shaped clusters of flowers, does not produce red berries."
Dipsacales,Adoxa moschatellina,Moschatel, Small greenish-yellow flowers arranged in a cube-like inflorescence.,A photograph of a Moschatel (Adoxa moschatellina): Small greenish-yellow flowers arranged in a cube-like inflorescence.
Dipsacales,Patrinia scabiosifolia,Patrinia Scabiosifolia, Features bright yellow flowers in flat-topped clusters.,A photograph of a Patrinia Scabiosifolia (Patrinia scabiosifolia): Features bright yellow flowers in flat-topped clusters.
Dipsacales,Centranthus lecoqii,Yellow Valerian," Yellow, trumpet-shaped flowers, less common than the red valerian.","A photograph of a Yellow Valerian (Centranthus lecoqii): Yellow, trumpet-shaped flowers, less common than the red valerian."
Dipsacales,Nardostachys jatamansi,Nardostachys Jatamansi," Pink, bell-shaped flowers and hairy leaves, known for its medicinal properties.","A photograph of a Nardostachys Jatamansi (Nardostachys jatamansi): Pink, bell-shaped flowers and hairy leaves, known for its medicinal properties."
Dipsacales,Morina longifolia,Morina Longifolia, Long spikes of white flowers that turn pink with age.,A photograph of a Morina Longifolia (Morina longifolia): Long spikes of white flowers that turn pink with age.
Dipsacales,Tripetaleia paniculata,Tripetaleia Paniculata, Small shrub with clusters of white or pink flowers.,A photograph of a Tripetaleia Paniculata (Tripetaleia paniculata): Small shrub with clusters of white or pink flowers.
Dipsacales,Pterocephalus depressus,Pterocephalus Depressus, Low-growing plant with pink to purple flowers in dense heads.,A photograph of a Pterocephalus Depressus (Pterocephalus depressus): Low-growing plant with pink to purple flowers in dense heads.
